Wavelength	67481<10	sd	67481 10-20	sd	67481 20-45	sd	67481 <45	sd
1185.0	0.47697	0.0046450	0.39224	0.0040380	0.28087	0.0031480	0.39195	0.0049790
1190.0	0.47844	0.0042940	0.39290	0.0038430	0.28114	0.0028430	0.39320	0.0050050
1195.0	0.47919	0.0047020	0.39391	0.0041000	0.28168	0.0030060	0.39423	0.0056000
1200.0	0.48026	0.0042520	0.39481	0.0038760	0.28253	0.0030160	0.39587	0.0047380
1205.0	0.48041	0.0044690	0.39605	0.0038290	0.28326	0.0032190	0.39678	0.0058680
1210.0	0.48086	0.0045970	0.39598	0.0041660	0.28465	0.0030780	0.39770	0.0061900
1215.0	0.48178	0.0049250	0.39754	0.0039430	0.28576	0.0034320	0.39861	0.0058400
1220.0	0.48246	0.0046890	0.39813	0.0039640	0.28668	0.0031650	0.39923	0.0053000
1225.0	0.48318	0.0047130	0.40012	0.0043370	0.28709	0.0031100	0.39944	0.0050680
1230.0	0.48392	0.0047740	0.39986	0.0042050	0.28764	0.0030660	0.40095	0.0049010
1235.0	0.48478	0.0047890	0.40051	0.0043330	0.28803	0.0030850	0.40191	0.0054180
1240.0	0.48601	0.0046970	0.40154	0.0037890	0.28869	0.0033500	0.40302	0.0056260
1245.0	0.48683	0.0046440	0.40257	0.0040120	0.28914	0.0032430	0.40328	0.0061560
1250.0	0.48793	0.0043980	0.40312	0.0038160	0.28999	0.0030120	0.40422	0.0062610
1255.0	0.48883	0.0047220	0.40390	0.0041450	0.29081	0.0032130	0.40462	0.0057780
1260.0	0.48846	0.0049060	0.40482	0.0038880	0.29189	0.0030450	0.40619	0.0055640
1265.0	0.48954	0.0045790	0.40681	0.0040950	0.29250	0.0031780	0.40672	0.0060220
1270.0	0.49176	0.0046550	0.40747	0.0040030	0.29364	0.0034390	0.40666	0.0062670
1275.0	0.49154	0.0048570	0.40775	0.0039780	0.29460	0.0033430	0.40759	0.0055730
1280.0	0.49279	0.0048480	0.40877	0.0040620	0.29541	0.0031770	0.40864	0.0058360
1285.0	0.49341	0.0044920	0.40941	0.0041620	0.29608	0.0031340	0.40852	0.0053610
1290.0	0.49432	0.0044700	0.41031	0.0039550	0.29711	0.0033150	0.40860	0.0050040
1295.0	0.49459	0.0046130	0.41119	0.0042580	0.29783	0.0035810	0.40983	0.0060080
1300.0	0.49525	0.0046680	0.41175	0.0039250	0.29827	0.0031330	0.41021	0.0050720
1305.0	0.49710	0.0047140	0.41299	0.0040060	0.29890	0.0031230	0.41158	0.0050600
1310.0	0.49802	0.0048480	0.41370	0.0043420	0.29951	0.0033230	0.41229	0.0052970
1315.0	0.49902	0.0049830	0.41556	0.0043590	0.30042	0.0034110	0.41237	0.0060810
1320.0	0.49973	0.0050920	0.41604	0.0040860	0.30158	0.0034250	0.41313	0.0055510
1325.0	0.50073	0.0049520	0.41729	0.0039950	0.30285	0.0031050	0.41460	0.0059570
1330.0	0.50178	0.0051800	0.41788	0.0044410	0.30399	0.0036130	0.41529	0.0060600
1335.0	0.50246	0.0050970	0.41884	0.0040560	0.30541	0.0034650	0.41614	0.0052210
1340.0	0.50390	0.0046400	0.42058	0.0040320	0.30639	0.0033570	0.41667	0.0054870
1345.0	0.50435	0.0045620	0.42046	0.0038730	0.30724	0.0032870	0.41713	0.0056440
1350.0	0.50448	0.0047340	0.42121	0.0041620	0.30812	0.0033140	0.41840	0.0057140
1355.0	0.50543	0.0047030	0.42256	0.0042700	0.30895	0.0034780	0.41868	0.0062200
1360.0	0.50643	0.0053720	0.42337	0.0046270	0.30992	0.0040200	0.41965	0.0064070
1365.0	0.50781	0.0055740	0.42498	0.0046170	0.31086	0.0036630	0.42005	0.0061060
1370.0	0.50856	0.0047440	0.42546	0.0045590	0.31177	0.0030600	0.42112	0.0057710
1375.0	0.50971	0.0046460	0.42725	0.0043790	0.31245	0.0036490	0.42143	0.0056030
1380.0	0.51045	0.0048500	0.42681	0.0043050	0.31327	0.0036210	0.42273	0.0051670
1385.0	0.51138	0.0049030	0.42856	0.0040230	0.31404	0.0038930	0.42398	0.0058160
1390.0	0.51165	0.0048030	0.43016	0.0044660	0.31490	0.0035600	0.42553	0.0056130
1395.0	0.51256	0.0049160	0.43141	0.0045220	0.31559	0.0036070	0.42601	0.0065330
1400.0	0.51313	0.0052880	0.43086	0.0044570	0.31652	0.0039080	0.42723	0.0067920
1405.0	0.51381	0.0047030	0.43301	0.0038860	0.31782	0.0036300	0.42851	0.0063110
1410.0	0.51424	0.0054900	0.43296	0.0045940	0.31896	0.0038100	0.42921	0.0062760
1415.0	0.51530	0.0049420	0.43339	0.0044070	0.31978	0.0035910	0.42985	0.0056250
1420.0	0.51564	0.0048510	0.43418	0.0045600	0.32059	0.0039060	0.43124	0.0055740
