Wavelength	62231 <10	sd	62231 10-20	sd	62231 20-45	sd	62231<45	sd
1355.0	0.34683		0.28874	0.0018710	0.21554	0.0028540	0.27220	0.0017180
1360.0	0.34780		0.28967	0.0018910	0.21656	0.0029530	0.27300	0.0018170
1365.0	0.34902		0.29090	0.0018300	0.21732	0.0027110	0.27345	0.0020140
1370.0	0.34973		0.29154	0.0019360	0.21759	0.0026270	0.27445	0.0022680
1375.0	0.35143		0.29338	0.0020080	0.21860	0.0028720	0.27530	0.0019680
1380.0	0.35207		0.29423	0.0019870	0.21865	0.0027310	0.27615	0.0019300
1385.0	0.35281		0.29492	0.0018500	0.22112	0.0026400	0.27677	0.0024640
1390.0	0.35287		0.29493	0.0019260	0.22219	0.0025570	0.27759	0.0023870
1395.0	0.35374		0.29579	0.0019650	0.22178	0.0027000	0.27754	0.0021490
1400.0	0.35373		0.29579	0.0018360	0.22284	0.0029700	0.27865	0.0019790
1405.0	0.35434		0.29618	0.0018560	0.22335	0.0025220	0.27893	0.0023650
1410.0	0.35526		0.29727	0.0019630	0.22435	0.0025520	0.28037	0.0024800
1415.0	0.35660		0.29858	0.0018550	0.22507	0.0024730	0.27998	0.0024450
1420.0	0.35770		0.29930	0.0017830	0.22589	0.0024660	0.28140	0.0024300
1425.0	0.35883		0.30036	0.0018780	0.22629	0.0025950	0.28214	0.0021230
1430.0	0.35980		0.30194	0.0019090	0.22704	0.0028870	0.28351	0.0021160
1435.0	0.36053		0.30317	0.0019220	0.22788	0.0023790	0.28371	0.0024600
1440.0	0.36106		0.30336	0.0019900	0.22855	0.0025250	0.28418	0.0025010
1445.0	0.36135		0.30378	0.0019250	0.22922	0.0026830	0.28564	0.0018420
1450.0	0.36258		0.30447	0.0019850	0.22994	0.0024210	0.28572	0.0018040
1455.0	0.36257		0.30536	0.0024760	0.23091	0.0027350	0.28653	0.0027710
1460.0	0.36456		0.30707	0.0021740	0.23161	0.0025520	0.28712	0.0024760
1465.0	0.36524		0.30747	0.0022480	0.23308	0.0023340	0.28827	0.0018410
1470.0	0.36640		0.30822	0.0025210	0.23371	0.0028060	0.28858	0.0017920
1475.0	0.36699		0.30938	0.0024610	0.23457	0.0022480	0.28943	0.0027410
1480.0	0.36836		0.31017	0.0023170	0.23529	0.0023890	0.28957	0.0029320
1485.0	0.36808		0.31087	0.0027720	0.23602	0.0024460	0.29143	0.0018370
1490.0	0.36975		0.31185	0.0027960	0.23635	0.0028700	0.29116	0.0018910
1495.0	0.36970		0.31199	0.0026750	0.23696	0.0026090	0.29212	0.0030810
1500.0	0.37099		0.31293	0.0028110	0.23742	0.0022360	0.29252	0.0030800
1505.0	0.37142		0.31336	0.0028640	0.23799	0.0023650	0.29360	0.0018720
1510.0	0.37194		0.31405	0.0028170	0.23834	0.0025910	0.29425	0.0020960
1515.0	0.37330		0.31526	0.0029800	0.23901	0.0028000	0.29407	0.0025180
1520.0	0.37348		0.31563	0.0032570	0.23934	0.0024270	0.29466	0.0028370
1525.0	0.37436		0.31593	0.0034420	0.23973	0.0026260	0.29578	0.0020500
1530.0	0.37435		0.31713	0.0027960	0.23990	0.0027400	0.29664	0.0018640
1535.0	0.37620		0.31804	0.0031350	0.24054	0.0023870	0.29622	0.0028630
1540.0	0.37606		0.31830	0.0030090	0.24115	0.0026850	0.29715	0.0028550
1545.0	0.37698		0.31932	0.0035150	0.24202	0.0022320	0.29812	0.0022290
1550.0	0.37723		0.31977	0.0033020	0.24310	0.0022640	0.29916	0.0022070
